Timestamp,Class,Count
2025-05-13 22:37:45,person,1
2025-05-13 22:37:46,person,1
2025-05-13 22:37:46,bottle,1
2025-05-13 22:37:48,person,1
2025-05-13 22:37:50,person,1
2025-05-13 22:37:50,bottle,2
2025-05-13 22:37:52,person,1
2025-05-13 22:38:08,person,1
2025-05-13 22:38:09,person,1
2025-05-13 22:38:09,bottle,1
2025-05-13 22:38:11,person,1
2025-05-13 22:38:11,bottle,1
2025-05-13 22:38:13,person,1
2025-05-13 22:38:13,cup,1
2025-05-13 22:38:13,bottle,1
2025-05-13 22:38:15,person,1
2025-05-13 22:38:15,bottle,1
2025-05-13 22:38:17,person,1
2025-05-13 22:38:17,bottle,1
2025-05-13 22:38:17,cup,1
2025-05-13 22:38:19,person,1
2025-05-13 22:38:19,cup,1
2025-05-13 22:38:19,bottle,1
2025-05-13 22:38:21,person,1
2025-05-13 22:38:21,bottle,1
2025-05-13 22:38:23,person,1
2025-05-13 22:38:26,person,1
2025-05-13 22:38:26,bottle,1
2025-05-13 22:38:28,person,1
2025-05-13 22:38:28,bottle,1
2025-05-13 22:38:28,cup,1
2025-05-13 22:38:30,person,1
2025-05-13 22:38:30,bottle,2
2025-05-13 22:38:32,person,1
2025-05-13 22:38:34,person,1
2025-05-13 22:38:34,bottle,1
2025-05-13 22:38:36,person,1
2025-05-13 22:38:36,bottle,1
2025-05-13 22:38:38,person,1
2025-05-13 22:38:38,bottle,1
2025-05-13 22:38:40,person,1
2025-05-13 22:38:40,bottle,1
2025-05-13 22:38:42,person,1
2025-05-13 22:38:42,bottle,1
2025-05-13 22:38:42,cup,1
2025-05-13 22:38:44,person,1
2025-05-13 22:38:44,cell phone,1
2025-05-13 22:38:44,bottle,2
2025-05-13 22:38:46,person,1
2025-05-13 22:38:46,cell phone,1
2025-05-13 22:38:46,bottle,1
2025-05-13 22:38:48,person,1
2025-05-13 22:38:48,cell phone,1
2025-05-13 22:38:48,bottle,2
2025-05-13 22:38:50,cell phone,1
2025-05-13 22:38:50,person,1
2025-05-13 22:38:50,bottle,1
2025-05-13 22:38:52,person,1
2025-05-13 22:38:52,cell phone,1
2025-05-13 22:38:52,bottle,1
2025-05-13 22:38:54,person,1
2025-05-13 22:38:54,cell phone,1
2025-05-13 22:38:54,bottle,2
2025-05-13 22:38:56,person,1
2025-05-13 22:38:56,cell phone,1
2025-05-13 22:38:56,bottle,2
2025-05-13 22:38:58,person,1
2025-05-13 22:38:58,cell phone,1
2025-05-13 22:38:58,bottle,1
2025-05-13 22:39:00,person,1
2025-05-13 22:39:00,cell phone,1
2025-05-13 22:39:00,bottle,1
2025-05-13 22:39:03,person,1
2025-05-13 22:39:03,cell phone,1
2025-05-13 22:39:03,bottle,2
2025-05-13 22:39:03,cup,1
2025-05-13 22:39:05,person,1
2025-05-13 22:39:05,cell phone,1
2025-05-13 22:39:05,cup,1
2025-05-13 22:39:07,person,1
2025-05-13 22:39:07,bottle,1
2025-05-13 22:39:07,cell phone,1
2025-05-13 22:39:09,person,1
2025-05-13 22:39:09,cell phone,1
2025-05-13 22:39:09,bottle,1
2025-05-13 22:39:09,cup,1
2025-05-13 22:39:11,person,1
2025-05-13 22:39:11,cell phone,1
2025-05-13 22:39:11,bottle,1
2025-05-13 22:39:13,cell phone,1
2025-05-13 22:39:13,person,1
2025-05-13 22:39:13,bottle,1
2025-05-13 22:39:13,cup,1
2025-05-13 22:39:15,person,1
2025-05-13 22:39:15,bottle,1
2025-05-13 22:39:17,person,1
2025-05-13 22:39:17,bottle,2
2025-05-13 22:39:19,person,1
2025-05-13 22:39:19,bottle,1
2025-05-13 22:39:21,person,1
2025-05-13 22:39:21,bottle,1
2025-05-13 22:39:23,person,2
2025-05-13 22:39:23,bottle,2
2025-05-13 22:39:25,person,2
2025-05-13 22:39:25,bottle,1
2025-05-13 22:39:27,person,2
2025-05-13 22:39:27,bottle,1
2025-05-13 22:39:29,person,2
2025-05-13 22:39:29,bottle,1
2025-05-13 22:39:31,person,2
2025-05-13 22:39:31,bottle,2
2025-05-13 22:39:33,person,2
2025-05-13 22:39:33,bottle,1
2025-05-13 22:39:35,person,1
2025-05-13 22:39:35,bottle,1
2025-05-13 22:39:37,person,1
2025-05-13 22:39:37,bottle,2
2025-05-13 22:39:39,person,1
2025-05-13 22:39:39,bottle,2
2025-05-13 22:39:41,person,2
2025-05-13 22:39:41,bottle,2
2025-05-13 22:39:43,person,1
2025-05-13 22:39:43,bottle,2
2025-05-13 22:39:45,person,2
2025-05-13 22:39:45,bottle,2
2025-05-13 22:39:47,person,2
2025-05-13 22:39:47,bottle,2
2025-05-13 22:39:49,person,1
2025-05-13 22:39:49,bottle,2
2025-05-13 22:39:51,person,2
2025-05-13 22:39:51,bottle,1
2025-05-13 22:39:53,person,1
2025-05-13 22:39:55,person,1
2025-05-13 22:48:00,person,2
2025-05-13 22:48:00,person,2
2025-05-13 22:48:00,bottle,1
2025-05-13 22:48:02,person,2
2025-05-13 22:48:02,bottle,1
2025-05-13 22:48:04,person,2
2025-05-13 22:48:04,bottle,1
2025-05-13 22:48:06,person,2
2025-05-13 22:48:06,bottle,2
2025-05-13 22:48:09,person,1
2025-05-13 22:48:09,bottle,1
2025-05-13 22:48:11,person,1
2025-05-13 22:48:13,person,1
2025-05-13 22:48:15,person,1
2025-05-13 22:48:17,person,1
2025-05-13 22:48:19,person,1
2025-05-13 22:48:21,person,1
2025-05-13 22:48:23,person,1
2025-05-13 22:48:25,person,1
2025-05-13 22:48:27,person,1
2025-05-13 22:48:29,person,1
2025-05-13 22:58:04,person,1
2025-05-13 22:58:05,person,1
2025-05-13 22:58:05,bottle,2
2025-05-13 22:58:07,person,1
2025-05-13 22:58:09,person,1
2025-05-13 22:58:11,person,1
2025-05-13 22:58:13,person,1
2025-05-13 22:58:13,bottle,3
2025-05-13 22:58:15,person,1
2025-05-13 22:58:15,bottle,3
2025-05-13 22:58:17,person,1
2025-05-13 22:58:17,bottle,1
2025-05-13 22:58:19,person,1
2025-05-13 22:58:19,bottle,3
2025-05-13 22:58:21,person,1
2025-05-13 22:58:21,bottle,3
2025-05-13 22:58:23,person,1
2025-05-13 22:58:23,bottle,2
2025-05-13 22:58:25,person,1
2025-05-13 22:58:25,bottle,2
2025-05-13 22:58:27,person,1
2025-05-13 22:58:27,bottle,2
2025-05-13 22:58:29,person,1
2025-05-13 22:58:29,cup,1
2025-05-13 22:58:29,cell phone,1
2025-05-13 22:58:29,bottle,2
2025-05-13 22:58:31,person,1
2025-05-13 22:58:31,cup,1
2025-05-13 22:58:31,cell phone,1
2025-05-13 22:58:31,bottle,2
2025-05-13 22:58:33,person,1
2025-05-13 22:58:33,cup,1
2025-05-13 22:58:33,cell phone,1
2025-05-13 22:58:33,bottle,1
2025-05-13 22:58:35,person,1
2025-05-13 22:58:35,cup,1
2025-05-13 22:58:35,bottle,2
2025-05-13 22:58:35,cell phone,1
2025-05-13 22:58:37,person,1
2025-05-13 22:58:37,cup,1
2025-05-13 22:58:39,person,1
2025-05-13 22:58:39,bottle,1
2025-05-13 22:58:41,person,1
2025-05-13 22:58:41,bottle,1
2025-05-13 22:58:43,person,1
2025-05-13 22:58:45,person,1
2025-05-13 22:58:45,bottle,1
2025-05-13 22:58:47,person,1
2025-05-13 22:58:49,person,1
2025-05-13 22:58:51,person,1
2025-05-13 22:58:53,person,1
2025-05-13 22:59:37,person,1
2025-05-13 22:59:37,bottle,1
2025-05-13 22:59:37,person,1
2025-05-13 22:59:38,person,1
2025-05-13 22:59:39,person,1
2025-05-13 22:59:40,person,1
2025-05-13 22:59:41,person,1
2025-05-13 22:59:42,person,1
2025-05-13 22:59:42,bottle,2
2025-05-13 22:59:43,person,1
2025-05-13 22:59:43,bottle,1
2025-05-13 22:59:44,person,2
2025-05-13 22:59:44,bottle,1
2025-05-13 22:59:45,person,2
2025-05-13 22:59:45,bottle,2
2025-05-13 22:59:46,person,1
2025-05-13 22:59:46,bottle,2
2025-05-13 22:59:47,person,2
2025-05-13 22:59:47,bottle,1
2025-05-13 22:59:48,person,3
2025-05-13 22:59:48,bottle,1
2025-05-13 22:59:49,person,2
2025-05-13 22:59:49,bottle,1
2025-05-13 22:59:50,person,2
2025-05-13 22:59:50,bottle,1
2025-05-13 22:59:51,person,2
2025-05-13 22:59:51,bottle,2
2025-05-13 22:59:52,person,2
2025-05-13 22:59:52,bottle,1
2025-05-13 22:59:53,person,1
2025-05-13 22:59:53,bottle,1
2025-05-13 22:59:54,person,1
2025-05-13 22:59:54,bottle,2
2025-05-13 22:59:55,person,1
2025-05-13 22:59:55,bottle,1
2025-05-13 22:59:56,person,1
2025-05-13 22:59:56,bottle,1
2025-05-13 22:59:57,person,1
2025-05-13 22:59:57,bottle,1
2025-05-13 22:59:58,person,1
2025-05-13 22:59:58,bottle,1
2025-05-13 22:59:59,person,1
2025-05-13 22:59:59,bottle,1
2025-05-13 23:00:00,person,1
2025-05-13 23:00:00,bottle,1
2025-05-13 23:00:01,person,1
2025-05-13 23:00:01,bottle,1
2025-05-13 23:00:02,person,1
2025-05-13 23:00:02,bottle,1
2025-05-13 23:00:03,person,1
2025-05-13 23:00:03,bottle,1
2025-05-13 23:00:04,person,2
2025-05-13 23:00:04,cell phone,1
2025-05-13 23:00:05,cell phone,2
2025-05-13 23:00:05,person,1
2025-05-13 23:00:06,person,1
2025-05-13 23:00:06,cell phone,2
2025-05-13 23:00:07,person,1
2025-05-13 23:00:07,cell phone,2
2025-05-13 23:00:08,person,1
2025-05-13 23:00:08,cell phone,2
2025-05-13 23:00:08,cup,1
2025-05-13 23:00:09,cell phone,1
2025-05-13 23:00:09,person,2
2025-05-13 23:00:10,person,1
2025-05-13 23:00:10,cup,1
2025-05-13 23:00:11,person,1
2025-05-13 23:00:11,bottle,1
2025-05-13 23:00:12,person,1
2025-05-13 23:00:12,bottle,2
2025-05-13 23:00:14,person,1
2025-05-13 23:00:14,bottle,2
2025-05-13 23:00:15,person,1
2025-05-13 23:00:15,bottle,2
2025-05-13 23:00:16,person,1
2025-05-13 23:00:16,bottle,3
2025-05-13 23:00:16,cup,1
2025-05-13 23:00:17,person,1
2025-05-13 23:00:17,bottle,1
2025-05-13 23:00:18,person,1
2025-05-13 23:00:18,bottle,1
2025-05-13 23:00:19,person,1
2025-05-13 23:00:19,bottle,1
2025-05-13 23:00:20,person,1
2025-05-13 23:00:20,bottle,1
2025-05-13 23:00:21,person,1
2025-05-13 23:00:21,bottle,1
2025-05-13 23:00:22,person,1
2025-05-13 23:00:22,bottle,1
2025-05-13 23:00:23,person,1
2025-05-13 23:00:24,person,1
2025-05-13 23:00:25,person,1
2025-05-13 23:00:26,person,1
2025-05-13 23:00:27,person,1
2025-05-13 23:00:28,person,1
2025-05-13 23:00:29,person,1
2025-05-13 23:00:30,person,1
2025-05-13 23:00:31,person,1
2025-05-13 23:00:31,bottle,2
2025-05-13 23:00:32,person,1
2025-05-13 23:00:33,person,1
2025-05-13 23:00:34,person,1
2025-05-13 23:00:35,person,1
2025-05-13 23:00:35,bottle,1
2025-05-13 23:00:36,person,1
2025-05-13 23:00:36,bottle,1
2025-05-13 23:00:37,person,1
2025-05-13 23:00:38,person,1
2025-05-13 23:00:39,person,1
2025-05-13 23:00:39,bottle,2
2025-05-13 23:00:40,person,1
2025-05-13 23:00:40,bottle,2
2025-05-13 23:00:41,person,1
2025-05-13 23:00:41,bottle,1
2025-05-13 23:00:42,person,1
2025-05-13 23:00:42,bottle,2
2025-05-13 23:00:43,person,1
2025-05-13 23:00:43,bottle,1
2025-05-13 23:00:44,person,1
2025-05-13 23:00:44,tv,1
2025-05-13 23:00:45,person,1
2025-05-13 23:00:45,bottle,1
2025-05-13 23:00:45,tv,1
2025-05-13 23:00:46,person,1
2025-05-13 23:00:47,person,1
2025-05-13 23:00:48,person,1
2025-05-13 23:00:48,bottle,2
2025-05-13 23:00:49,person,1
2025-05-13 23:00:50,person,1
2025-05-13 23:00:50,bottle,2
